,11L,////,LD3////,1587,,,,232,,,-0.00342
,11R,////,LD3////,1587,,,,232,,,-0.00342
,11,11L/11R///,ALF/PLA///,3175,,,,232,,,-0.00342
,11P,11////,P1P//AAP//,4676,,,,244,,,-0.00338
,11P,11////,P6P/AMP///,5102,,,,250,,,-0.00336
,12L,////,LD3////,1587,,,,331,,,-0.00309
,12R,////,LD3////,1587,,,,331,,,-0.00309
,12,12L/12R///,ALF////,3175,,,,331,,,-0.00309
,12P,12/13///,P1P//AAP//,4676,,,,343,,,-0.00305
,12P,12/13///,P6P/AMP///,5102,,,,346,,,-0.00304
,13L,////,LD3////,1587,,,,406,,,-0.00284
,13R,////,LD3////,1587,,,,406,,,-0.00284
,13,13L/13R///,/ALF///,3175,,,,406,,,-0.00284
,13P,13/14/21//,P6P/AMP///,5102,,,,445,,,-0.00271
,13P,13/14/21//,P1P//AAP//,4676,,,,448,,,-0.0027
,14L,////,LD3/LD2///,1587,,,,466,,,-0.00264
,14R,////,LD3/LD2///,1587,,,,466,,,-0.00264
,14,14L/14R///,ALF/PLA///,3175,,,,466,,,-0.00264
,21L,////,LD3/LD2///,1587,,,,526,,,-0.00244
,21R,////,LD3/LD2///,1587,,,,526,,,-0.00244
,21,21L/21R///,ALF////,3175,,,,526,,,-0.00244
,21P,21/22///,P6P/AMP///,5102,,,,544,,,-0.00238
,21P,21/22///,P1P//AAP//,4676,,,,547,,,-0.00237
,22L,////,LD3/LD2///,1587,,,,589,,,-0.00223
,22R,////,LD3/LD2///,1587,,,,589,,,-0.00223
,22,22L/22R///,PLA/ALF///,3175,,,,589,,,-0.00223
,22P,22/23/24//,P6P/AMP///,5102,,,,640,,,-0.00206
,22P,22/23/24//,P1P//AAP//,4676,,,,643,,,-0.00205
,23L,////,LD3/LD2///,1587,,,,649,,,-0.00203
,23R,////,LD3/LD2///,1587,,,,649,,,-0.00203
,23,23L/23R///,/ALF///,3175,,,,649,,,-0.00203
,24L,////,LD3/LD2///,1587,,,,709,,,-0.00183
,24R,////,LD3/LD2///,1587,,,,709,,,-0.00183
,24,24L/24R///,PLA/ALF///,3175,,,,709,,,-0.00183
,23P,24/25///,P6P/AMP///,5102,,,,739,,,-0.00173
,23P,24/25///,P1P//AAP//,4676,,,,742,,,-0.00172
,25L,////,LD3/LD2///,1587,,,,772,,,-0.00162
,25R,////,LD3/LD2///,1587,,,,772,,,-0.00162
,25,25L/25R///,/ALF///,3175,,,,772,,,-0.00162
,26L,////,LD3/LD2///,1587,,,,829,,,-0.00143
,26R,////,LD3/LD2///,1587,,,,829,,,-0.00143
,26,26L/26R///,PLA/ALF///,3175,,,,829,,,-0.00143
,24P,25/26/27//,P6P/AMP///,5102,,,,835,,,-0.00141
,24P,25/26/27//,P1P//AAP//,4676,,,,841,,,-0.00139
,27L,////,LD3/LD2///,1587,,,,889,,,-0.00123
,27R,////,LD3/LD2///,1587,,,,889,,,-0.00123
,27,27L/27R///,/ALF///,3175,,,,889,,,-0.00123
,25P,27/28///,P6P/AMP///,6350,,,,934,,,-0.00108
,25P,27/28///,P1P//AAP//,5102,,,,937,,,-0.00107
,28L,////,LD3////,1587,,,,952,,,-0.00102
,28R,////,LD3////,1587,,,,952,,,-0.00102
,28,28L/28R///,PLA/ALF///,3175,,,,952,,,-0.00102
,31L,////,LD3////,1587,,,,1480,,,0.00074
,31R,////,LD3////,1587,,,,1480,,,0.00074
,31,31L/31R///,PLA/ALF///,3175,,,,1480,,,0.00074
,31P,31/32///,P1P//AAP//,5102,,,,1495,,,0.00079
,31P,31/32///,P6P/AMP///,6350,,,,1498,,,0.0008
,32L,////,LD3/LD2///,1587,,,,1540,,,0.00094
,32R,////,LD3/LD2///,1587,,,,1540,,,0.00094
,32,32L/32R///,/ALF///,3175,,,,1540,,,0.00094
,32P,32/33/34//,P1P/AAP///,4676,,,,1585,,,0.00109
,32P,32/33/34//,P6P/AMP///,5102,,,,1597,,,0.00113
,33L,////,LD3/LD2///,1587,,,,1603,,,0.00115
,33R,////,LD3/LD2///,1587,,,,1603,,,0.00115
,33,33L/33R///,PLA/ALF///,3175,,,,1603,,,0.00115
,34L,////,LD3/LD2///,1587,,,,1663,,,0.00135
,34R,////,LD3/LD2///,1587,,,,1663,,,0.00135
,34,34L/34R///,/ALF///,3175,,,,1663,,,0.00135
,33P,34/35///,P1P/AAP///,4676,,,,1672,,,0.00138
,33P,34/35///,P6P/AMP///,5102,,,,1693,,,0.00145
,35L,////,LD3/LD2///,1587,,,,1723,,,0.00155
,35R,////,LD3/LD2///,1587,,,,1723,,,0.00155
,35,35L/35R///,PLA/ALF///,3175,,,,1723,,,0.00155
,34P,35/36///,P1P/AAP///,4676,,,,1762,,,0.00168
,36L,////,LD3/LD2///,1587,,,,1783,,,0.00175
,36R,////,LD3/LD2///,1587,,,,1783,,,0.00175
,36,36L/36R///,/ALF///,3175,,,,1783,,,0.00175
,34P,35/36/41//,P6P/AMP///,5102,,,,1792,,,0.00178
,41L,////,LD3////,1587,,,,1843,,,0.00195
,41R,////,LD3////,1587,,,,1843,,,0.00195
,41,41L/41R///,PLA/ALF///,3175,,,,1843,,,0.00195
,42L,////,LD3////,1587,,,,1906,,,0.00216
,42R,////,LD3////,1587,,,,1906,,,0.00216
,42,42L/42R///,/ALF///,3175,,,,1906,,,0.00216
,41P,41/42/43//,P1P/AAP///,4676,,,,1918,,,0.0022
,41P,41/42/43//,P6P/AMP///,5102,,,,1921,,,0.00221
,43L,////,LD3////,1587,,,,1978,,,0.0024
,43R,////,LD3////,1587,,,,1978,,,0.0024
,43,43L/43R///,/ALF///,3175,,,,1978,,,0.0024
,42P,43/44///,P6P/AMP///,5102,,,,2020,,,0.00254
,42P,43/44///,P1P//AAP//,4676,,,,2026,,,0.00256
,44L,////,LD3////,1587,,,,2038,,,0.0026
,44R,////,LD3////,1587,,,,2038,,,0.0026
,44,44L/44R///,PLA/ALF///,3175,,,,2038,,,0.0026
Cpt,5,,AFT,4082,16,,,2155,,,0.00299
